id;name;category;thickness_mm;price;edgePrice;image;discount;status;description;pros;care;supplier;supplierUrl;datasheetUrl;Column1;_1;_2;_3;id_4
bricmate-glanshammar-silk-12-mm-keramik;bricmate glanshammar silk (12 mm);keramik;12;4277.0;;/materials/Bricmate_Glanshammar_Silk.jpg;-0.1;available;bricmates keramiska bänkskiva glanshammar silk är en granitkeramik i storformat med silkeslen yta. inspirerad av den ikoniska svenska ekebergsmarmorn som bryts i glanshammar utanför örebro.;;;;;;;;;;
bricmate-jura-select-classic-12-mm-keramik;bricmate jura select classic (12 mm);keramik;12;4277.0;;/materials/Bricmate_Jura_Select_Classic.jpg;-0.1;available;bricmate jura select classic är en granitkeramik inspirerad av jurakalkstenen som bryts i södra tyskland.;;;;;;;;;;
bricmate-jura-select-ivory-12-mm-keramik;bricmate jura select ivory (12 mm);keramik;12;4277.0;;/materials/Bricmate_Jura_Select_Ivory.jpg;-0.1;available;jura select ivory matt är en granitkeramik inspirerad av jurakalkstenen som bryts i södra tyskland.;;;;;;;;;;
bricmate-kolmarden-light-12-mm-keramik;bricmate kolmården light (12 mm);keramik;12;4277.0;;/materials/Bricmate_Kolmården_Light.jpg;-0.1;available;bricmate kolmården light silk är en keramik med sidenartad slät yta. den har inspirerats av klassisk svensk marmor.;;;;;;;;;;
bricmate-norrvange-beige-12-mm-keramik;bricmate norrvange beige (12 mm);keramik;12;4277.0;;/materials/Bricmate_Norrvange_Beige.jpg;-0.1;available;bricmate norrvange beige är en bänkskiva av granitkeramik i varm jordnära kulör med matt yta, rik på variation fosilliknande och naturliga detaljer.;;;;;;;;;;
bricmate-norrvange-ivory-12-mm-keramik;bricmate norrvange ivory (12 mm);keramik;12;4277.0;;/materials/Bricmate_Norrvange_Ivory.jpg;-0.1;available;norrvange ivory matt är en bänkskiva av granitkeramik i varm jordnära kulör med matt yta, rik på variation fosilliknande och naturliga detaljer.;;;;;;;;;;
bricmate-norrvange-light-grey-12-mm-keramik;bricmate norrvange light grey (12 mm);keramik;12;4277.0;;/materials/Bricmate_Norrvange_Light_Grey.jpg;-0.1;available;norrvange light grey är en keramisk bänkskiva med matt yta, rik variation med fosiliknande och naturliga detaljer. för bänkskivor i keramik erbjuder vi endast övermontage av spishäll och övermontage av diskho.;;;;;;;;;;
bricmate-runo-warm-grey-12-mm-keramik;bricmate runö warm grey (12 mm);keramik;12;4277.0;;/materials/Bricmate_Runö_Warm_Grey.jpg;-0.1;available;bricmate runö warm grey borstad är en varmgrå granitkeramik med kalkstensutseende i matt lätt strukturerad yta. runö är mycket naturtrogen med fosilliknande detaljer och vackert varierande tonskillnader.;;;;;;;;;;
bricmate-runo-warm-grey-20-mm-keramik;bricmate runö warm grey (20 mm);keramik;20;4277.0;;/materials/Bricmate_Runö_Warm_Grey.jpg;-0.1;available;bricmate runö warm grey borstad är en varmgrå granitkeramik med kalkstensutseende i matt lätt strukturerad yta. runö är mycket naturtrogen med fosilliknande detaljer och vackert varierande tonskillnader.;;;;;;;;;;
brilliant-black-20-mm-kompositsten;brilliant black (20 mm);kvarts/komposit;20;1998.0;;/materials/Brilliant_Black.jpg;;available;kompositstenskivor i brilliant black material är starka, hållbara och extremt hygienisk.;;;;;;;;;;
brilliant-black-30-mm-kompositsten;brilliant black (30 mm);kvarts/komposit;30;2797.0;;/materials/Brilliant_Black.jpg;;available;kompositstenskivor i brilliant black material är starka, hållbara och extremt hygienisk.;;;;;;;;;;
brilliant-white-20-mm-kompositsten;brilliant white (20 mm);kvarts/komposit;20;1998.0;;/materials/Brilliant_White.jpg;-0.1;available;brilliant white är en ljus och kompakt granit med kristaller i olika färger. en bänkskiva i kompositsten är ett konstverk!;;;;;;;;;;
brilliant-white-30-mm-kompositsten;brilliant white (30 mm);kvarts/komposit;30;2797.0;;/materials/Brilliant_White.jpg;-0.1;available;brilliant white är en ljus och kompakt granit med kristaller i olika färger. en bänkskiva i kompositsten är ett konstverk!;;;;;;;;;;
calacatta-20-mm-terrazzo;calacatta (20 mm);terrazzo;20;1566.0;;/materials/Calacatta.jpg;-0.1;available;terrazzo calacatta är en konstgjord sten, som innehåller flisor och bitar av vit calacatta-marmor. jämfört med en annan terrazzo (carrara 0/26) är marmorflisorna större och stundtals glasartade. tack vare detta ljusspel är stenen särskilt uppskattad av inredare och formgivare av bostäder.;;;;;;;;;;
calacatta-30-mm-terrazzo;calacatta (30 mm);terrazzo;30;2192.0;;/materials/Calacatta.jpg;-0.1;available;terrazzo calacatta är en konstgjord sten, som innehåller flisor och bitar av vit calacatta-marmor. jämfört med en annan terrazzo (carrara 0/26) är marmorflisorna större och stundtals glasartade. tack vare detta ljusspel är stenen särskilt uppskattad av inredare och formgivare av bostäder.;;;;;;;;;;
